date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:47:30,,0,0,0.2669,0,0,0
2020-10-0610:47:30,,0,0,0.1223,0,0,0
2020-10-0610:47:31,39,0,0,0.316,0,0,0
2020-10-0610:47:31,,0,0,0.1602,0,0,0
2020-10-0610:47:31,,0,0,0,0,0,0
2020-10-0610:47:32,41,0,0,0,0,0,0
2020-10-0610:47:32,42,0,0,0,0,0,0
2020-10-0610:47:32,4,0,0,0,0,0,0
2020-10-0610:47:33,4,0,0,0,0,0,0
2020-10-0610:47:33,43,0,0,0,0,0,0
2020-10-0610:47:33,43,0,0,0,0,0,0
2020-10-0610:47:34,,0,0,0,0,0,0
2020-10-0610:47:34,,0,0,0,0,0,0
2020-10-0610:47:34,,0,0,0,0,0,0
2020-10-0610:47:35,,0,0,0,0,0,0
2020-10-0610:47:35,,0,0,3.6784,0,0,0
2020-10-0610:47:35,47,0,0,2.9526,0,0,0
2020-10-0610:47:36,,0,0,2.3266,0,0,0
2020-10-0610:47:36,,0,0,0.1945,0,0,0
2020-10-0610:47:36,,0,0,0.1945,0,0,0
2020-10-0610:47:37,,0,0,0.1968,0,0,0
2020-10-0610:47:37,,0,0,0.3971,0,0,0
2020-10-0610:47:37,,0,0,0.3973,0,0,0
2020-10-0610:47:38,,0,0,0,0,0,0
2020-10-0610:47:38,48,0,0,2.0311,0,0,0
2020-10-0610:47:38,,0,0,0.5677,0,0,0
2020-10-0610:47:39,48,0,0,0.6292,0,0,0
2020-10-0610:47:39,,0,0,0.6845,0,0,0
2020-10-0610:47:39,47,0,0,0.7148,0,0,0
2020-10-0610:47:40,,0,0,0.5638,0,0,0
2020-10-0610:47:40,46,0,0,3.0353,0,0,0
2020-10-0610:47:40,46,0,0,2.7715,0,0,0
2020-10-0610:47:41,46,0,0,2.7715,0,0,0
2020-10-0610:47:41,46,0,0,0.0842,0,0,0
2020-10-0610:47:41,46,0,0,0.0936,0,0,0
2020-10-0610:47:42,,0,0,0.0603,0,0,0
2020-10-0610:47:42,47,0,0,0,0,0,0
2020-10-0610:47:42,47,0,0,0,0,0,0
2020-10-0610:47:43,,0,0,0.1837,0,0,0
2020-10-0610:47:43,,0,0,0.1332,0,0,0
2020-10-0610:47:43,,0,0,0.4127,0,0,0
2020-10-0610:47:44,,0,0,0.387,0,0,0
2020-10-0610:47:44,4,0,0,0.5942,0,0,0
2020-10-0610:47:44,8,0,0,0.7728,0,0,0
2020-10-0610:47:45,7,0,0,0.3824,0,0,0
2020-10-0610:47:45,1,0,0,0,0,0,0
2020-10-0610:47:45,,0,0,0,0,0,0
2020-10-0610:47:46,,0,0,0,0,0,0
2020-10-0610:47:46,4,0,0,0,0,0,0
2020-10-0610:47:46,4,0,0,0,0,0,0
2020-10-0610:47:47,4,0,0,0,0,0,0
2020-10-0610:47:47,7,0,0,0,0,0,0
2020-10-0610:47:47,,0,0,0,0,0,0
2020-10-0610:47:46,7,0,0,0,0,0,0
2020-10-0610:47:48,1,0,0,0,0,0,0
2020-10-0610:47:48,,0,0,0,0,0,0
2020-10-0610:47:49,,0,0,0,0,0,0
2020-10-0610:47:49,,0,0,0.0762,0,0,0
2020-10-0610:47:49,,0,0,0.0513,0,0,0
2020-10-0610:47:50,,0,0,0.0513,0,0,0
2020-10-0610:47:50,,0,0,0,0,0,0
2020-10-0610:47:50,,0,0,0,0,0,0
2020-10-0610:47:51,,0,0,0,0,0,0
2020-10-0610:47:51,,0,0,0,0,0,0
2020-10-0610:47:51,,0,0,0,0,0,0
2020-10-0610:47:52,,0,0,0,0,0,0
2020-10-0610:47:52,90,0,0,0.2795,0,0,0
2020-10-0610:47:52,90,0,0,0.2809,0,0,0
2020-10-0610:47:53,90,0,0,0.0788,0,0,0
2020-10-0610:47:53,18,0,0,0,0,0,0
2020-10-0610:47:53,90,0,0,0,0,0,0
2020-10-0610:47:54,49,0,0,0,0,0,0
2020-10-0610:47:54,,0,0,0,0,0,0
2020-10-0610:47:54,4,0,0,0,0,0,0
2020-10-0610:47:55,4,0,0,0,0,0,0
2020-10-0610:47:55,49,0,0,0,0,0,0
2020-10-0610:47:55,48,0,0,0,0,0,0
2020-10-0610:47:56,48,0,0,0,0,0,0
2020-10-0610:47:56,48,0,0,0,0,0,0
